variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
b_raw[92],0.45786230951,0.457634,0.15441313211896324,0.15623490539999998,0.20376020000000003,0.7044114499999999,1.0004985152978338,1963.0476508753457,2744.2475771051563
b_raw[93],0.14341545478575,0.142996,0.0939812672958985,0.09431196662999998,-0.011226215000000001,0.29668895,1.0075554456213422,700.6266024734226,1719.567831147388
b_raw[94],1.8896808025,1.887115,0.16495721602194416,0.16428690599999993,1.6218785,2.1646024999999995,1.0044562632311789,1073.7299603952574,2132.9604627128065
b_raw[95],-0.210222338947025,-0.2114785,0.11703681481563476,0.11411572199999998,-0.40537895,-0.018916665000000072,1.0018690391917915,1257.395970772581,2509.443444270956
b_raw[96],0.30502081286675,0.3053885,0.13553869899847537,0.1356527109,0.0754821,0.52548175,1.0024704037516932,1189.8876273235037,2192.036036355041
b_raw[97],0.127687793244,0.127858,0.133151739890688,0.13413415785,-0.085469045,0.34794899999999995,1.0045806644877955,1360.0403855166994,2713.0461150350334
b_raw[98],-0.676327802,-0.6755255,0.15700676421926366,0.15679310429999999,-0.9364939,-0.4151362500000001,1.0026759488711887,2512.073760648523,2120.7414298463773
b_raw[99],-0.497466567301,-0.49597349999999996,0.1576249614681582,0.15522303089999998,-0.7576805499999999,-0.24223110000000006,1.0017408072430996,2615.1960572015532,2472.764520881688
b_raw[100],0.4550292969275,0.45225499999999996,0.16051569614796207,0.1614358662,0.19211675,0.7242655,1.0038114207767932,2155.0669761691433,2656.2817063086786
b_raw[101],-0.189299845927705,-0.191468,0.15832124662725441,0.16022309939999999,-0.44958615,0.06855674499999984,1.0021674440773334,1867.2742597229462,2588.0158183468216
b_raw[102],-1.25902298975,-1.25902,0.09680303412281033,0.09629487000000009,-1.42425,-1.1030245,1.0077669715100064,548.6844645208921,1110.048604733403
b_raw[103],1.04574005725,1.04454,0.16197430838547736,0.16276798229999997,0.77913405,1.3115125,1.0016627400760447,2030.1161329775691,2937.6483370137094
b_raw[104],-0.7519373685,-0.7528075,0.13455393532530036,0.1349069631,-0.976084,-0.5350481500000001,1.001849835971118,1672.6615636027668,2554.746337508899
b_raw[105],0.5368703724375,0.53625,0.15908462937653736,0.1579613931,0.2779913,0.8018060999999997,1.0032868972870446,2122.9013802380314,2612.6521855811584
b_raw[106],0.85053511125,0.8495345000000001,0.12051167794473758,0.1225999005,0.6569973,1.0458420000000002,1.0050369242430657,765.4379714007217,2127.625779163627
b_raw[107],0.97787126575,0.9805495,0.16084672035807296,0.16224758970000006,0.7048641999999999,1.2369400000000002,1.003565110450695,1364.4167170480332,2351.5523768156777
b_raw[108],0.124867251375025,0.1278995,0.12097116969896797,0.11922068444999998,-0.081912615,0.32245774999999977,1.0039914796619478,1113.3438424158392,2249.3669488602654
b_raw[109],-0.1976186072795,-0.19865,0.15781077748676942,0.16081376724,-0.4505649,0.06220711999999992,1.0014565028481752,2389.875689085144,2605.1804691391003
b_raw[110],-0.177407934481925,-0.1776095,0.13487638081117823,0.13356862007999998,-0.40364255,0.04755205499999982,1.0025360744928116,1119.7030320346396,2229.8761225915996
b_raw[111],-1.6565042375,-1.65653,0.1401312740711786,0.14188482,-1.8925665,-1.4286055,1.0042367391936962,920.9704440571292,1761.5360669638653
b_raw[112],0.3230933854475,0.3227065,0.1566126521271009,0.1571378088,0.06321184499999999,0.57529845,1.002085625662411,1878.517826109338,2373.289790662121
b_raw[113],-1.549068862,-1.54974,0.16142447648494027,0.15972049799999982,-1.8121195,-1.2840855,1.0016582392344362,1692.6661238812223,2545.110026656911
b_raw[114],0.1897480720445,0.191384,0.13466726112135546,0.13318047539999997,-0.039014655,0.4069764499999999,1.0029356390892568,1717.271112411465,2343.377563890022
b_raw[115],-0.5138477285,-0.5126189999999999,0.1335745511005436,0.13536582779999998,-0.7346412,-0.29483485000000004,1.0037943774951827,1451.064609369918,2544.4140919547594
b_raw[116],-0.06848338121578323,-0.0643119,0.12993797787124767,0.12895121063999998,-0.28354474999999996,0.14401894999999978,1.003724787218479,1247.3250412938644,2706.668622699811
b_raw[117],-0.2774640856431,-0.2759645,0.16140747824428012,0.1600088637,-0.54543,-0.012192890000000046,1.0028032393817008,1474.0532746799145,2562.170631832976
b_raw[118],0.33372612398925,0.333884,0.15276848815993668,0.15217184009999998,0.08419521500000002,0.5887456499999999,1.0020815411567616,1942.7574034379047,2521.34416221949
b_raw[119],-1.1047405045,-1.103685,0.12540305285504344,0.12401207699999994,-1.3154295,-0.9009956,1.0028142222901417,812.4731308882842,2087.071746635164
b_raw[120],-1.243615688,-1.24452,0.13866813840016198,0.13745184599999993,-1.474848,-1.0196815000000001,1.004565475066032,1041.1954472005295,2019.7683329179877
b_raw[121],0.166266079133,0.1658875,0.1584410218620535,0.15955377962999998,-0.09428086,0.42351049999999996,1.0018431684647646,2332.0298164065507,2764.0885185931274
b_raw[122],-0.175994545668375,-0.1772405,0.16153015190754583,0.16306450229999997,-0.43376675,0.09285798499999995,1.004217786707998,2163.9777841937153,2371.8258574043016
b_raw[123],0.60274351995,0.602101,0.1577637224962012,0.1584217404,0.343828,0.8590401999999999,1.001037264627494,1985.1824563622001,2304.600269823711
b_raw[124],0.080231015693375,0.07938205000000001,0.08690583103038951,0.08377201496999999,-0.06154383499999999,0.22692354999999986,1.0063582930332797,634.4570479902964,1577.7029655834774
b_raw[125],-0.320775489515,-0.32031350000000003,0.11880930728632456,0.11946790800000001,-0.51220675,-0.1261740000000001,1.0040619980609806,1171.427706722597,2035.2932615352424
b_raw[126],0.32356764366025,0.3234455,0.16465328158109388,0.15901329779999998,0.04524928500000001,0.5950595999999997,1.0020354047512543,3021.878954334029,2430.3630535883176
b_raw[127],-1.10204829575,-1.097285,0.16324613998743873,0.1674678242999999,-1.3735789999999999,-0.8373979,1.001461338437818,2066.2102504568397,2626.059255500994
